title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Mitsubishi L200 VI,2025,0 km,"90,000 AED",https://auto.ae/dubai/sale/car/mitsubishi/mitsubishi-l200-vi-2025/id/211642/,Trim GLD,Black,Left-Hand Drive,"2.4 l, 128 hp, Petrol",Pickup double cab,GCC Specs
Lamborghini Urus I,2021,"21,000 km","860,000 AED",https://auto.ae/dubai/sale/car/lamborghini/lamborghini-urus-i-2021/id/211636/,Trim Individual,White,Left-Hand Drive,"4.0 l, 650 hp, Petrol",SUV 5 dr.,N/A
Rolls-Royce Wraith,2017,"45,000 km","675,000 AED",https://auto.ae/dubai/sale/car/rolls-royce/rolls-royce-wraith-2017/id/211633/,Trim Individual,Black,Left-Hand Drive,"6.6 l, 632 hp, Petrol",Coupe,GCC Specs
Nissan Patrol V (Y61) Facelift,2024,"28,000 km","220,000 AED",https://auto.ae/dubai/sale/car/nissan/nissan-patrol-v-y61-facelift-2024/id/211630/,Trim Super Safari,Beige,Left-Hand Drive,"4.8 l, 280 hp, Petrol",SUV 5 dr.,GCC Specs
Lexus LX 600 IV,2023,"64,000 km","435,000 AED",https://auto.ae/dubai/sale/car/lexus/lexus-lx-iv-2023/id/211628/,Trim LX 600 Prestige,Black,Left-Hand Drive,"3.4 l, 415 hp, Petrol",SUV 5 dr.,GCC Specs
Lamborghini Urus Performante I Facelift,2024,"4,000 km","1,480,000 AED",https://auto.ae/dubai/sale/car/lamborghini/lamborghini-urus-i-facelift-2024/id/211624/,Trim Performante,Purple,Left-Hand Drive,"4.0 l, 666 hp, Petrol",SUV 5 dr. S,N/A
Mercedes-Benz G-Class AMG 63 AMG II (W463),2019,"101,000 km","460,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w463-2019/id/211618/,Trim AMG G 63,Black,Left-Hand Drive,"4.0 l, 585 hp, Petrol",SUV 5 dr.,GCC Specs
Lexus LX 600 IV,2023,"71,000 km","440,000 AED",https://auto.ae/dubai/sale/car/lexus/lexus-lx-iv-2023/id/211613/,Trim LX 600 Prestige,White,Left-Hand Drive,"3.4 l, 415 hp, Petrol",SUV 5 dr.,GCC Specs
Lamborghini Aventador LP720-4 I,2014,"7,000 km","1,070,000 AED",https://auto.ae/dubai/sale/car/lamborghini/lamborghini-aventador-i-2014/id/211608/,Trim other,Silver,Left-Hand Drive,"6.5 l, 720 hp, Petrol",Coupe,Japanese Specs
Bugatti Chiron,2021,"6,000 km","17,500,000 AED",https://auto.ae/dubai/sale/car/bugatti/bugatti-chiron-2021/id/211605/,Trim Standart,Grey,Left-Hand Drive,"8.0 l, 1500 hp, Petrol",Coupe,GCC Specs
