kms,vehicle_age,kms_per_year,horsepower_mid,engine_cc_mid,doors,cylinders,seating_capacity,brand,model,trim,fuel_type,body_type,steering_side,regional_specs,age_bucket,log_price
177060,11,16096.363636363636,449.5,4000.0,4 door,8,5 Seater,Audi,S7/RS7,4.0 TFSI Quattro Tiptronic,Petrol,Sedan,Left Hand,GCC Specs,10+,10.93133754807084
200000,11,18181.81818181818,249.5,2249.5,4 door,4,5 Seater,Mercedes-Benz,A-Class,A 250,Petrol,Hatchback,Left Hand,GCC Specs,10+,10.308985993422082
185000,20,9250.0,149.5,1749.5,4 door,4,5 Seater,Honda,City,Other,Petrol,Sedan,Left Hand,GCC Specs,10+,9.305741456739437
239200,12,19933.33333333333,149.5,1249.5,5+ doors,4,5 Seater,Suzuki,Swift,Other,Petrol,Hatchback,Left Hand,Other,10+,9.259225769705994
58900,4,14725.0,149.5,3749.5,4 door,6,4 Seater,Dodge,Charger,SXT,Petrol,Sports Car,Left Hand,American Specs,4-6,11.07443600653965
50,1,50.0,449.5,1749.5,5+ doors,4,5 Seater,BYD,Leopard,Titanium 7,Hybrid,SUV,Left Hand,Chinese Specs,0-1,11.951186847493476
108000,3,36000.0,249.5,2749.5,4 door,4,5 Seater,Land Rover,Range Rover Velar,R-Dynamic,Petrol,SUV,Left Hand,GCC Specs,2-3,12.07254696717504
63168,4,15792.0,349.5,4000.0,4 door,8,5 Seater,RAM,1500,Limited 10th Anniversary Double Cab,Petrol,Pick Up Truck,Left Hand,GCC Specs,4-6,12.100161978566868
300000,9,33333.333333333336,349.5,4000.0,4 door,8,7 Seater,Lexus,LX-Series,LX 570 Signature,Petrol,SUV,Left Hand,GCC Specs,7-10,12.07254696717504
103500,5,20700.0,349.5,3249.5,4 door,8,7 Seater,Toyota,Land Cruiser,VXR Grand Touring,Petrol,SUV,Left Hand,GCC Specs,4-6,12.429220196836384
229659,7,32808.42857142857,149.5,4000.0,2 door,4,8+ Seater,Ashok Leyland,Oyster,Other,Diesel,Pick Up Truck,Left Hand,GCC Specs,7-10,11.373674891823535
180000,8,22500.0,249.5,2749.5,4 door,4,5 Seater,Nissan,X-Trail,SV,Petrol,SUV,Left Hand,GCC Specs,7-10,10.545367754151744
115000,7,16428.571428571428,349.5,2249.5,4 door,4,5 Seater,Renault,Koleos,LE,Petrol,SUV,Left Hand,GCC Specs,7-10,10.518700218288163
120000,10,12000.0,149.5,1749.5,4 door,4,5 Seater,Chevrolet,Cruze,Other,Petrol,SUV,Left Hand,GCC Specs,7-10,9.711176264112805
50,1,50.0,249.5,2249.5,5+ doors,4,5 Seater,Mercedes-Benz,GLC Coupe,GLC 200 4Matic,Petrol,Coupe,Left Hand,GCC Specs,0-1,12.6410997921206
215000,17,12647.058823529413,149.5,1749.5,4 door,4,4 Seater,Toyota,Corolla,LE,Petrol,Sedan,Left Hand,Canadian Specs,10+,9.546884034617923
92000,11,8363.636363636364,349.5,2749.5,4 door,6,5 Seater,Maserati,Ghibli,Ghibli S Q4,Petrol,Sedan,Left Hand,GCC Specs,10+,11.141876276228
